Sections
HEB_600
HEB_400
HEA_300
HEB_500
SHSW_600x600x60_Gr65
HEB_400_2PL20
HEA_400
SHSW_600x600x35_Gr65
SHSW_600x600x40_Gr65
SHSW_600x600x80_Gr65
SHSW_600x600x55_Gr65
SHSW_600x600x70_Gr65
HEA_260
HEB_300
SHSW_600x600x20_Gr65
RHSW_800x600x20_Gr65
RHSW_1000x600x70_Gr65
RHSW_1000x600x100_Gr65
SHSW_600x600x20
RHSW_600x300x30
HEB_500_2PL15
SHSW_600x600x30_Gr65
SHSW_600x600x45_Gr65
SHSW_600x600x50_Gr65
HEA_500
SHS_400x400x14.2_Gr65
RHS_400x300x12.5
RHS_400x300x16
RHS_400x300x8
HEB_500_2PL25
HEA_400_2PL15
HEA_600
HEB_600_2PL20
HEB_400_2PL15
RHSW_800x600x60_Gr65
RHSW_800x600x90_Gr65
RHSW_800x600x55_Gr65
RHSW_500x300x20
RHSW_500x300x30
RHSW_500x300x45
HEB_600_2PL15
SHSW_500x500x20_Gr65
RHSW_800x600x40_Gr65
HEA_500_2PL20
SHSW_400x400x20
CHS_101.6x5
CHS_114.3x5.4
CHS_139.7x6.3
UB_457x152x52
SHSW_160x160x20
CHS_159x16
BUI_500x15_500x25
CHS_159x6.3
UB_457x191x74
UB_610x305x179
HEB_240
UB_610x229x113
UB_533x165x66
RHS_500x300x8
HEA_240
UB_610x305x149
BUI_600x15_400x30
RHS_500x300x12.5
RHSW_600x300x20
RHSW_600x300x15
UB_610x229x101
UB_305x127x37
HEB_240_2PL40
UB_610x229x140
UB_610x178x82
UB_305x127x48
HEB_240_2PL30
UB_610x229x125
BUI_600x15_500x40
HEB_240_2PL20
CHS_139.7x5
UB_356x171x45
UB_356x171x67
RHSW_250x500x30
RHSW_800x600x30_Gr65
RHSW_800x400x30_Gr65
BUI_2000x20_800x55_Gr65
BUI_1200x20_1000x60_Gr65
CHS_159x12.5
RHSW_800x600x80_Gr65
RHSW_800x600x70_Gr65
UB_406x178x54
UB_457x191x98
UB_610x178x92
UB_406x178x85
UB_305x165x40
BUI_700x15_500x30
HEA_800
HEB_240_2PL15
RHSW_250x500x40
HEA_700
BUI_600x15_500x30
BUI_2000x20_800x50_Gr65
UB_533x165x74
UB_457x152x67
RHSW_800x600x50_Gr65
UB_457x152x74
UB_610x229x153
UB_762x267x197
UB_610x305x238
DUMMY
UB_406x178x74
BUI_600x15_600x50
BUI_TAP_2000x800_800x800_25x55_Gr65
RHS_500x300x16
BUI_TAP_1200x1000_800x1000_20x60_Gr65
HEB_800
BUI_TAP_2000x800_800x800_25x50_Gr65
CHS_219.1x16
CHS_159x30
CHS_219.1x20
CHS_159x8.8
CHS_159x20
CHS_323.9x20
CHS_323.9x16
SHSW_600x600x40
RHSW_1000x600x80_Gr65
CHS_508x20_Gr65
CHS_193.7x6.3
CHS_219.1x6.4
CHS_244.5x10
CHS_508x16_Gr65
RHSW_1000x600x50_Gr65
UB_305x165x54
RHSW_500x300x40
RHS_500x300x10
HEB_600_2PL30
RHSW_600x400x20
SHSW_500x500x30_Gr65
BUI_600x20_500x40
BUI_800x15_500x30
BUI_800x15_500x20
CHS_193.7x16
SHSW_500x500x20
SHSW_500x500x30
RHSW_500x300x50
BUI_800x15_400x40
BUI_600x15_500x20
RHSW_800x400x30
RHSW_800x300x20
CHS_323.9x6.4
CHS_323.9x25
CHS_323.9x30
CHS_457x32
CHS_457x12.5
CHS_457x16
CHS_457x25
CHS_323.9x12.5
CHS_244.5x6.3
CHS_273x6.3
CHS_323.9x40
CHS_273x10
SHSW_600x600x30
RHSW_250x400x12.5
RHS_400x300x10
RHSW_500x400x20_Gr65
SHS_400x400x12.5
RHSW_600x400x20_Gr65
RHSW_400x300x20
RHSW_600x300x60
RHSW_1000x600x60_Gr65
RHSW_250x500x25
RHSW_250x400x20
RHSW_500x300x25
CHS_323.9x9.5
CHS_159x25
SHSW_160x160x30
SHSW_400x400x30
RHS_300x200x8
BUI_800x20_500x40
CHS_508x6.4_Gr65
CHS_610x9.5_Gr65
CHS_406.4x12.5
CHS_406.4x6.3_Gr65
CHS_610x32_Gr65
CHS_610x25_Gr65
CHS_406.4x20_Gr65
CHS_406.4x9.5_Gr65
CHS_406.4x6.4_Gr65
CHS_610x40_Gr65
CHS_610x20_Gr65
CHS_610x15.9_Gr65
CHS_610x60_Gr65
CHS_406.4x12.5_Gr65
CHS_406.4x12.7_Gr65
CHS_508x9.5_Gr65
CHS_508x12.5_Gr65
CHS_610x19.1_Gr65
CHS_508x17.5_Gr65
RHSW_500x300x30_Gr65
CHS_457x10_Gr65
HEA_400_2PL20
CHS_610x17.5_Gr65
CHS_610x50_Gr65
CHS_159x40
CHS_610x32
CHS_457x20
CHS_610x20
HEB_500_2PL20
RHSW_600x300x10
BUI_500x15_500x35
CHS_457x6.4
RHSW_1000x600x40_Gr65
SHSW_160x160x40
CHS_219.1x12.5
RHS_300x200x8.8
CHS_114.3x6.3
RHS_450x250x10
RHS_400x250x16
RHS_400x200x12.5
RHS_450x250x12.5
BUI_500x20_500x35
ME_RIGID
BUI_800x15_600x50
CHS_457x12.5_Gr65
HEA_200
CHS_168.3x6.4
BUI_500x15_500x20
UB_457x191x67
ME_C-RIGID
ME_RIGID_100
ME_BEARING
SHSW_160x160x25
RHS_300x200x12.5
RHS_400x200x16
RHS_300x200x16
RHS_200x150x10
C_R_1800x2400
C_R_2000x1000
RHS_400x200x10
BUI_TAP_2100x400_700x400_15x20
BUI_2100x15_400x20
BUI_2500x20_1000x40
BUI_2500x20_1000x50
BUI_2500x15_800x40
BUI_TAP_2100x500_700x500_15x30
BUI_TAP_2100x400_700x400_15x30
BUI_2100x15_500x30
BUI_TAP_2100x600_700x600_15x40
BUI_2500x20_800x35
BUI_2100x15_600x40
RHSW_800x400x20
BUI_2500x15_600x20
BUI_2100x20_500x30
BUI_2100x20_500x20
BUI_TAP_2100x400_1000x400_15x20
BUI_TAP_2100x500_700x500_20x30
BUI_2500x20_800x50
BUI_2500x15_600x35
BUI_2100x15_500x40
BUI_TAP_2100x500_700x500_15x40
BUI_TAP_2100x400_700x400_20x30
BUI_2100x15_500x50
BUI_1000x15_350x20
BUI_2100x20_500x40
BUI_TAP_2100x500_700x500_15x20
BUI_2500x25_1000x50
BUI_2500x15_600x45
BUI_2100x15_500x20
BUI_2500x15_800x35
BUI_2500x15_600x30
BUI_2100x20_600x40
BUI_2500x15_1000x40
BUI_800x15_500x25
BUI_2500x20_800x60
BUI_2500x30_1000x60
BUI_TAP_2100x350_700x350_15x25
BUI_TAP_2100x600_700x600_15x50
BUI_2100x15_350x40
BUI_2100x15_600x50
BUI_2100x15_400x30
BUI_2500x20_600x30
BUI_TAP_2500x600_700x600_20x40
BUI_TAP_2100x500_700x500_20x60
C_R_500x500
BUI_2100x20_600x50
BUI_2100x20_350x50
BUI_TAP_2100x500_1000x500_15x30
BUI_TAP_2100x500_1300x500_15x30
BUI_2500x15_500x50
BUI_TAP_2500x600_700x600_15x30
BUI_2500x20_800x30
BUI_2500x20_600x40
BUI_2500x20_500x30
BUI_2500x20_500x40
BUI_2100x20_500x60
BUI_2100x20_350x50_225
BUI_TAP_2500x500_700x500_15x30
BUI_TAP_2500x500_700x500_15x40
BUI_TAP_2100x450_700x450_15x25
SHS_300x300x16
RHSW_600x300x40
SHS_300x300x12.5
RHSW_600x300x35
SHSW_300x300x20
SHS_300x300x10
ME_RTS
ME_RIGID_F&B
BUI_500x15_400x20
CHS_406.4x6.4
CHS_219.1x10
SHSW_300x300x30
CHS_323.9x10
CHS_406.4x10
UB_533x165x85
SHS_300x300x8
BUI_600x20_400x40
RHS_500x200x6.3
RHS_400x200x6.3
BUI_400x15_400x25
RHS_500x200x10
RHS_500x200x12.5
RHS_500x200x16
UB_762x267x134
CHS_219.1x8
SHS_200x200x16
C_R_750x750
BUI_400x20_500x40
BUI_400x20_400x40
BUI_400x20_300x40
BUI_800x60_600x40
UB_457x191x82
