Section,Type,Shape,Catalogue,Area,Ix,Iy,H1,H2,bf1,bf2,tf1,tf2,tw,,,,,,,,
,,,,cm²,cm4,cm4,mm,mm,mm,mm,mm,mm,mm,,,,,,,,
HEB400,Steel,I,,198,57680,10820,400,400,300,300,24,24,13.5,,,,,,,,
HEB450,Steel,I,,218,79890,11720,450,450,300,300,26,26,14,,,,,,,,
HEB500,Steel,I,,239,107200,12620,500,500,300,300,28,28,14.5,,,,,,,,
HEB550,Steel,I,,254,136700,13080,550,550,300,300,29,29,15,,,,,,,,
HEB600,Steel,I,,270,171000,13530,600,600,300,300,30,30,15.5,,,,,,,,
HEB650,Steel,I,,286,210600,13980,650,650,300,300,31,31,16,,,,,,,,
HEB700,Steel,I,,306,256900,14440,700,700,300,300,32,32,17,,,,,,,,
HEB800,Steel,I,,334,359100,14900,800,800,300,300,33,33,17.5,,,,,,,,
HEB900,Steel,I,,371,494100,15820,900,900,300,300,35,35,18.5,,,,,,,,
HEB1000,Steel,I,,400,644700,16280,1000,1000,300,300,36,36,19,,,,,,,,
UB 1016x305x487,Steel,I,,619,1020400,26720,1036.1,1036.1,308.5,308.5,54,54,30,,,,,,,,
UB 1016x305x438,Steel,I,,556,908900,23440,1025.9,1025.9,305.4,305.4,49,49,26.9,,,,,,,,
UB 1016x305x393,Steel,I,,500,806600,20490,1016,1016,303,303,43.9,43.9,24.4,,,,,,,,
UB 1016x305x349,Steel,I,,445,722100,18460,1008.1,1008.1,302,302,40,40,21.1,,,,,,,,
UB 1016x305x314,Steel,I,,400,643200,16230,1000,1000,300,300,35.9,35.9,19.1,,,,,,,,
UB 1016x305x272,Steel,I,,346,552900,1400,990.1,990.1,300,300,31,31,16.5,,,,,,,,
UB 1016x305x249,Steel,I,,316,480300,11750,980.2,980.2,300,300,26,26,16.5,,,,,,,,
UB 1016x305x222,Steel,I,,282,406900,9544,970.3,970.3,300,300,21.1,21.1,16,,,,,,,,
UB 914x419x388,Steel,I,,494,719600,45440,921,921,420.5,420.5,36.6,36.6,21.4,,,,,,,,
UB 914x419x343,Steel,I,,437,625800,39160,911.8,911.8,418.5,418.5,32,32,19.4,,,,,,,,
UB 914x305x289,Steel,I,,368,504200,15600,926.6,926.6,307.7,307.7,32,32,19.5,,,,,,,,
UB 914x305x253,Steel,I,,323,436300,13300,918.4,918.4,305.5,305.5,27.9,27.9,17.3,,,,,,,,
UB 914x305x224,Steel,I,,286,376400,11240,910.4,910.4,304.1,304.1,23.9,23.9,15.9,,,,,,,,
UB 914x305x201,Steel,I,,256,325300,9423,903,903,303.3,303.3,20.2,20.2,15.1,,,,,,,,
