Section,Type,Shape,Catalogue,Area,Ix,Iy,H1,H2,bf1,bf2,tf1,tf2,tw,,,,,,,,
,,,,cm²,cm4,cm4,mm,mm,mm,mm,mm,mm,mm,,,,,,,,
UKB 305x165x40,Steel,I,,51.3,8503,764,303.4,303.4,165,165,10.2,10.2,6,,,,,,,,
UKB 305x127x48,Steel,I,,61.2,9575,461,311,311,125.3,125.3,14,14,9,,,,,,,,
UKB 305x127x42,Steel,I,,53.4,8196,389,307.2,307.2,124.3,124.3,12.1,12.1,8,,,,,,,,
UKB 305x127x37,Steel,I,,47.2,7171,336,304.4,304.4,123.3,123.3,10.7,10.7,7.1,,,,,,,,
UKB 305x102x33,Steel,I,,41.8,6501,194,312.7,312.7,102.4,102.4,10.8,10.8,6.6,,,,,,,,
UKB 305x102x28,Steel,I,,35.9,5366,155,308.7,308.7,101.8,101.8,8.8,8.8,6,,,,,,,,
UKB 305x102x25,Steel,I,,31.6,4455,123,305.1,305.1,101.6,101.6,7,7,5.8,,,,,,,,
UKB 254x146x43,Steel,I,,54.8,6544,677,259.6,259.6,147.3,147.3,12.7,12.7,7.2,,,,,,,,
UKB 254x146x37,Steel,I,,47.2,5537,571,256,256,146.4,146.4,10.9,10.9,6.3,,,,,,,,
UKB 254x146x31,Steel,I,,39.7,4413,448,251.4,251.4,146.1,146.1,8.6,8.6,6,,,,,,,,
UKB 254x102x28,Steel,I,,36.1,4005,179,260.4,260.4,102.2,102.2,10,10,6.3,,,,,,,,
UKB 254x102x25,Steel,I,,32,3415,149,257.2,257.2,101.9,101.9,8.4,8.4,6,,,,,,,,
UKB 254x102x22,Steel,I,,28,2841,119,254,254,101.6,101.6,6.8,6.8,5.7,,,,,,,,
UKB 203x133x30,Steel,I,,38.2,2896,385,206.8,206.8,133.9,133.9,9.6,9.6,6.4,,,,,,,,
UKB 203x133x25,Steel,I,,32,2340,308,203.2,203.2,133.2,133.2,7.8,7.8,5.7,,,,,,,,
UKB 203x102x23,Steel,I,,29.4,2105,164,203.2,203.2,101.8,101.8,9.3,9.3,5.4,,,,,,,,
UKB 178x102x19,Steel,I,,24.3,1356,137,177.8,177.8,101.2,101.2,7.9,7.9,4.8,,,,,,,,
UKB 152x89x16,Steel,I,,20.3,834,89.8,152.4,152.4,88.7,88.7,7.7,7.7,4.5,,,,,,,,
UKB 127x76x13,Steel,I,,16.5,473,55.7,127,127,76,76,7.6,7.6,4,,,,,,,,
UKC 356x406x634,Steel,I,,808,274800,98130,474.6,474.6,424,424,77,77,47.6,,,,,,,,
UKC 356x406x551,Steel,I,,702,226900,82670,455.6,455.6,418.5,418.5,67.5,67.5,42.1,,,,,,,,
UKC 356x406x467,Steel,I,,595,183000,67830,436.6,436.6,412.2,412.2,58,58,35.8,,,,,,,,
UKC 356x406x393,Steel,I,,501,146600,55370,419,419,407,407,49.2,49.2,30.6,,,,,,,,
UKC 356x406x340,Steel,I,,433,122500,46850,406.4,406.4,403,403,42.9,42.9,26.6,,,,,,,,
UKC 356x406x287,Steel,I,,366,99880,38680,393.6,393.6,399,399,36.5,36.5,22.6,,,,,,,,
UKC 356x406x235,Steel,I,,299,79080,30990,381,381,394.8,394.8,30.2,30.2,18.4,,,,,,,,
UKC 356x368x202,Steel,I,,257,66260,23690,374.6,374.6,374.7,374.7,27,27,16.5,,,,,,,,
UKC 356x368x177,Steel,I,,226,57120,20530,368.2,368.2,372.6,372.6,23.8,23.8,14.4,,,,,,,,
UKC 356x368x153,Steel,I,,195,48590,17550,362,362,370.5,370.5,20.7,20.7,12.3,,,,,,,,
UKC 356x368x129,Steel,I,,164,40250,14610,355.6,355.6,368.6,368.6,17.5,17.5,10.4,,,,,,,,
UKC 305x305x283,Steel,I,,360,78870,24630,365.3,365.3,322.2,322.2,44.1,44.1,26.8,,,,,,,,
UKC 305x305x240,Steel,I,,306,64200,20310,352.5,352.5,318.4,318.4,37.7,37.7,23,,,,,,,,
UKC 305x305x198,Steel,I,,252,50900,16300,339.9,339.9,314.5,314.5,31.4,31.4,19.1,,,,,,,,
UKC 305x305x158,Steel,I,,201,38750,12570,327.1,327.1,311.2,311.2,25,25,15.8,,,,,,,,
UKC 305x305x137,Steel,I,,174,32810,10700,320.5,320.5,309.2,309.2,21.7,21.7,13.8,,,,,,,,
UKC 305x305x118,Steel,I,,150,27670,9059,314.5,314.5,307.4,307.4,18.7,18.7,12,,,,,,,,
UKC 305x305x97,Steel,I,,123,22250,7308,307.9,307.9,305.3,305.3,15.4,15.4,9.9,,,,,,,,
UKC 254x254x167,Steel,I,,213,30000,9870,289.1,289.1,265.2,265.2,31.7,31.7,19.2,,,,,,,,
UKC 254x254x132,Steel,I,,168,22530,7531,276.3,276.3,261.3,261.3,25.3,25.3,15.3,,,,,,,,
UKC 254x254x107,Steel,I,,136,17510,5928,266.7,266.7,258.8,258.8,20.5,20.5,12.8,,,,,,,,
UKC 254x254x89,Steel,I,,113,14270,4857,260.3,260.3,256.3,256.3,17.3,17.3,10.3,,,,,,,,
UKC 254x254x73,Steel,I,,93.1,11410,3908,254.1,254.1,254.6,254.6,14.2,14.2,8.6,,,,,,,,
UKC 203x203x86,Steel,I,,110,9449,3127,222.2,222.2,209.1,209.1,20.5,20.5,12.7,,,,,,,,
UKC 203x203x71,Steel,I,,90.4,7618,2537,215.8,215.8,206.4,206.4,17.3,17.3,10,,,,,,,,
UKC 203x203x60,Steel,I,,76.4,6125,2065,209.6,209.6,205.8,205.8,14.2,14.2,9.4,,,,,,,,
UKC 203x203x52,Steel,I,,66.3,5259,1778,206.2,206.2,204.3,204.3,12.5,12.5,7.9,,,,,,,,
UKC 203x203x46,Steel,I,,58.7,4568,1548,203.2,203.2,203.6,203.6,11,11,7.2,,,,,,,,
UKC 152x152x37,Steel,I,,47.1,2210,706,161.8,161.8,154.4,154.4,11.5,11.5,8,,,,,,,,
UKC 152x152x30,Steel,I,,38.3,1748,560,157.6,157.6,152.9,152.9,9.4,9.4,6.5,,,,,,,,
UKC 152x152x23,Steel,I,,29.2,1250,400,152.4,152.4,152.2,152.2,6.8,6.8,5.8,,,,,,,,
PFC430x100x64,Steel,Channel,,82.1,1020,97.9,430,430,100,100,19,19,11,,,,,,,,
PFC380x100x54,Steel,Channel,,68.7,791,89.2,380,380,100,100,17.5,17.5,9.5,,,,,,,,
PFC300x100x46,Steel,Channel,,58,549,81.7,300,300,100,100,16.5,16.5,9,,,,,,,,
PFC300x90x41,Steel,Channel,,52.7,481,63.1,300,300,90,90,15.5,15.5,9,,,,,,,,
PFC260x90x35,Steel,Channel,,44.4,364,56.3,260,260,90,90,14,14,8,,,,,,,,
260x75x28,Steel,Channel,,35.1,278,34.4,260,260,75,75,12,12,7,,,,,,,,
PFC230x90x32,Steel,Channel,,41,306,55,230,230,90,90,14,14,7.5,,,,,,,,
PFC230x75x26,Steel,Channel,,32.7,239,34.8,230,230,75,75,12.5,12.5,6.5,,,,,,,,
PFC200x90x30,Steel,Channel,,37.9,252,53.4,200,200,90,90,14,14,7,,,,,,,,
PFC200x75x23,Steel,Channel,,29.9,196,33.8,200,200,75,75,12.5,12.5,6,,,,,,,,
PFC180x90x26,Steel,Channel,,33.2,202,47.4,180,180,90,90,12.5,12.5,6.5,,,,,,,,
PFC180x75x20,Steel,Channel,,25.9,152,28.8,180,180,75,75,10.5,10.5,6,,,,,,,,
PFC150x90x24,Steel,Channel,,30.4,155,44.4,150,150,90,90,12,12,6.5,,,,,,,,
PFC150x75x18,Steel,Channel,,22.8,115,26.6,150,150,75,75,10,10,5.5,,,,,,,,
PFC125x65x15,Steel,Channel,,18.8,77.3,18.8,125,125,65,65,9.5,9.5,5.5,,,,,,,,
PFC100x50x10,Steel,Channel,,13,41.5,9.89,100,100,50,50,8.5,8.5,5,,,,,,,,
HE100A,Steel,I,,21.2,349,134,96,96,100,100,8,8,5,,,,,,,,
HEA120,Steel,I,,25.3,606,231,114,114,120,120,8,8,5,,,,,,,,
HE140A,Steel,I,,31.4,1030,389,133,133,140,140,8.5,8.5,5.5,,,,,,,,
HE160A,Steel,I,,38.8,1670,616,152,152,160,160,9,9,6,,,,,,,,
HEA180,Steel,I,,45.3,2510,925,171,171,180,180,9.5,9.5,6,,,,,,,,
HE200A,Steel,I,,53.8,3690,1340,190,190,200,200,10,10,6.5,,,,,,,,
HE220A,Steel,I,,64.3,5410,1950,210,210,220,220,11,11,7,,,,,,,,
HE240A,Steel,I,,76.8,7760,2770,230,230,240,240,12,12,7.5,,,,,,,,
HE260A,Steel,I,,86.8,10450,3670,250,250,260,260,12.5,12.5,7.5,,,,,,,,
HE280A,Steel,I,,97.3,13670,4760,270,270,280,280,13,13,8,,,,,,,,
HE300A,Steel,I,,113,18260,6310,290,290,300,300,14,14,8.5,,,,,,,,
HE320A,Steel,I,,124,22930,6990,310,310,300,300,15.5,15.5,9,,,,,,,,
HE340A,Steel,I,,133,27690,7440,330,330,300,300,16.5,16.5,9.5,,,,,,,,
HE360A,Steel,I,,143,33090,7890,350,350,300,300,17.5,17.5,10,,,,,,,,
HE400A,Steel,I,,159,45070,8560,390,390,300,300,19,19,11,,,,,,,,
HE450A,Steel,I,,178,63720,9470,440,440,300,300,21,21,11.5,,,,,,,,
HE500A,Steel,I,,198,86970,10370,490,490,300,300,23,23,12,,,,,,,,
HE550A,Steel,I,,212,111900,10820,540,540,300,300,24,24,12.5,,,,,,,,
HE600A,Steel,I,,226,141200,11270,590,590,300,300,25,25,13,,,,,,,,
HE650A,Steel,I,,242,175200,11720,640,640,300,300,26,26,13.5,,,,,,,,
HE700A,Steel,I,,260,215300,12180,690,690,300,300,27,27,14.5,,,,,,,,
HE800A,Steel,I,,286,303400,12640,790,790,300,300,28,28,15,,,,,,,,
HE900A,Steel,I,,321,422100,13550,890,890,300,300,30,30,16,,,,,,,,
HE1000A,Steel,I,,347,553800,14000,990,990,300,300,31,31,16.5,,,,,,,,
HE100B,Steel,I,,26,450,167,100,100,100,100,10,10,6,,,,,,,,
HE120B,Steel,I,,34,864,318,120,120,120,120,11,11,6.5,,,,,,,,
HE140B,Steel,I,,43,1510,550,140,140,140,140,12,12,7,,,,,,,,
HE160B,Steel,I,,54.3,2490,889,160,160,160,160,13,13,8,,,,,,,,
HE180B,Steel,I,,65.3,3830,1360,180,180,180,180,14,14,8.5,,,,,,,,
HEB200,Steel,I,,78.1,5700,2000,200,200,200,200,15,15,9,,,,,,,,
HE220B,Steel,I,,91,8090,2840,220,220,220,220,16,16,9.5,,,,,,,,
HE240B,Steel,I,,106,11260,3920,240,240,240,240,17,17,10,,,,,,,,
HE260B,Steel,I,,118,14920,5130,260,260,260,260,17.5,17.5,10,,,,,,,,
HE280B,Steel,I,,131,19270,6590,280,280,280,280,18,18,10.5,,,,,,,,
HE300B,Steel,I,,149,25170,8560,300,300,300,300,19,19,11,,,,,,,,
HE320B,Steel,I,,161,30820,9240,320,320,300,300,20.5,20.5,11.5,,,,,,,,
HE340B,Steel,I,,171,36660,9690,340,340,300,300,21.5,21.5,12,,,,,,,,
HE360B,Steel,I,,181,43190,10140,360,360,300,300,22.5,22.5,12.5,,,,,,,,
HE400B,Steel,I,,198,57680,10820,400,400,300,300,24,24,13.5,,,,,,,,
HE450B,Steel,I,,218,79890,11720,450,450,300,300,26,26,14,,,,,,,,
HE500B,Steel,I,,239,107200,12620,500,500,300,300,28,28,14.5,,,,,,,,
HE550B,Steel,I,,254,136700,13080,550,550,300,300,29,29,15,,,,,,,,
HE600B,Steel,I,,270,171000,13530,600,600,300,300,30,30,15.5,,,,,,,,
HE650B,Steel,I,,286,210600,13980,650,650,300,300,31,31,16,,,,,,,,
HE700B,Steel,I,,306,256900,14440,700,700,300,300,32,32,17,,,,,,,,
HE800B,Steel,I,,334,359100,14900,800,800,300,300,33,33,17.5,,,,,,,,
HE900B,Steel,I,,371,494100,15820,900,900,300,300,35,35,18.5,,,,,,,,
HE1000B,Steel,I,,400,644700,16280,1000,1000,300,300,36,36,19,,,,,,,,
